username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Xaver,,,51.0,,37.16,80.11,0.8688,0.9478,38.72,True,47.02,1,133.0,"Xaver scores 38.72 with consistency score 80.1, bancho score 51.0, recent tournament form 37.2; reliability 0.869, activity 0.948, provisional",{}
Isak-,,,45.66,,42.02,69.67,0.8688,0.9439,38.62,True,47.09,1,148.0,"Isak- scores 38.62 with consistency score 69.7, bancho score 45.7, recent tournament form 42.0; reliability 0.869, activity 0.944, provisional",{}
Ievi-,,,33.69,,41.65,90.17,0.8688,0.9439,38.6,True,47.07,1,148.0,"Ievi- scores 38.60 with consistency score 90.2, recent tournament form 41.6, bancho score 33.7; reliability 0.869, activity 0.944, provisional",{}
GSBlank,,,33.86,,41.61,88.47,0.8688,0.9425,38.35,True,46.83,1,154.0,"GSBlank scores 38.35 with consistency score 88.5, recent tournament form 41.6, bancho score 33.9; reliability 0.869, activity 0.943, provisional",{}
Bomilk,,,46.65,,40.74,71.39,0.8688,0.9425,38.34,True,46.82,1,154.0,"Bomilk scores 38.34 with consistency score 71.4, bancho score 46.7, recent tournament form 40.7; reliability 0.869, activity 0.943, provisional",{}
kagiura,,,32.03,,44.07,80.46,0.8688,0.9442,38.28,True,46.67,1,147.0,"kagiura scores 38.28 with consistency score 80.5, recent tournament form 44.1, bancho score 32.0; reliability 0.869, activity 0.944, provisional",{}
POMAH,,,36.73,,49.94,50.0,0.8688,0.9409,38.21,True,46.75,1,161.0,"POMAH scores 38.21 with consistency score 50.0, recent tournament form 49.9, bancho score 36.7; reliability 0.869, activity 0.941, provisional",{}
wr8th,,,38.12,,48.41,50.0,0.8688,0.9497,38.08,True,46.16,1,126.0,"wr8th scores 38.08 with consistency score 50.0, recent tournament form 48.4, bancho score 38.1; reliability 0.869, activity 0.950, provisional",{}
dench,,,50.23,,44.18,50.0,0.8688,0.9409,38.03,True,46.53,1,161.0,"dench scores 38.03 with bancho score 50.2, consistency score 50.0, recent tournament form 44.2; reliability 0.869, activity 0.941, provisional",{}
Kalanluu,,,27.78,,45.6,78.52,0.8688,0.9439,37.94,True,46.27,1,148.0,"Kalanluu scores 37.94 with consistency score 78.5, recent tournament form 45.6, bancho score 27.8; reliability 0.869, activity 0.944, provisional",{}
savilju,,,36.92,,40.99,81.58,0.8688,0.9439,37.85,True,46.15,1,148.0,"savilju scores 37.85 with consistency score 81.6, recent tournament form 41.0, bancho score 36.9; reliability 0.869, activity 0.944, provisional",{}
