#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,,#135,CL:,,Gonzah,1.266,6 / 22,3 / 11,"614,830",97.44%,,DT1,S,"951,926",,,,,,
,,,#136,NL:,,John Zenith,1.266,10 / 22,5 / 11,"569,129",98.19%,,NM2,S,"974,004",,,,,,
,,,#137,FI:,,Kalanluu,1.265,6 / 22,3 / 11,"497,655",96.70%,,HD2,A,"647,359",,,,,,
,,,#138,FI:,,Isak-,1.263,12 / 22,6 / 11,"510,885",97.42%,,NM2,A,"943,712",,,,,,
,,,#139,JP:,,Aotoleen,1.262,10 / 22,5 / 11,"532,356",95.23%,,DT1,S,"863,471",,,,,,
,,★,#140,PE:,,SapeSape,1.256,22 / 22,11 / 11,"402,370",95.32%,,NM3,A,"589,466",,,,,,
,,,#141,CH:,,marcel7,1.242,14 / 22,7 / 11,"505,132",97.13%,,NM2,S,"956,577",,,,,,
,,,#142,PH:,,zonelouise,1.238,11 / 22,6 / 11,"545,476",97.72%,,DT1,S,"937,169",,,,,,
,,★,#143,VN:,,Another Guy,1.233,18 / 22,9 / 11,"455,477",97.19%,,DT1,S,"943,508",,,,,,
,,★,#144,IN:,,ArtoriaMyAngel,1.232,20 / 22,10 / 11,"428,089",95.22%,,NM3,S,"889,931",,,,,,
,,★,#145,NZ:,,ozbert,1.232,17 / 22,9 / 11,"444,643",94.86%,,DT1,A,"629,051",,,,,,
,,★,#146,BE:,,Hanori,1.231,22 / 22,11 / 11,"401,764",94.71%,,NM3,A,"657,338",,,,,,
,,,#147,AR:,,viciobylike,1.219,14 / 22,7 / 11,"483,573",97.85%,,NM2,A,"831,438",,,,,,
,,★,#148,CZ:,,fisskill,1.218,22 / 22,11 / 11,"395,264",95.07%,,HR1,S,"888,256",,,,,,
,,,#149,ID:,,Hakui Koyori,1.216,14 / 22,7 / 11,"451,266",95.50%,,NM4,A,"686,205",,,,,,
,,,#150,AR:,,Seiong,1.209,12 / 22,6 / 11,"521,693",97.38%,,NM2,S,"988,590",,,,,,
,,,#151,DE:,,aimbotcone,1.209,4 / 22,2 / 11,"782,159",98.99%,,DT2,S,"917,602",,,,,,
,,,#152,NO:,,antonyw,1.207,10 / 22,5 / 11,"436,546",97.55%,,HR2,A,"549,153",,,,,,
,,,#153,GB:,,MALTESER,1.201,5 / 22,3 / 11,"724,060",98.68%,,DT2,S,"943,443",,,,,,
,,,#154,SE:,,melwem,1.200,8 / 22,4 / 11,"560,525",98.27%,,HR1,A,"816,720",,,,,,
,,,#155,CL:,,Hanayume,1.199,8 / 22,4 / 11,"563,300",98.22%,,HR1,A,"697,893",,,,,,
,,,#156,IT:,,BELLOFIGO,1.198,15 / 22,8 / 11,"469,604",97.46%,,NM4,S,"919,459",,,,,,
,,,#157,SG:,,Mekeyo,1.196,13 / 22,7 / 11,"476,411",95.20%,,NM4,A,"698,998",,,,,,
,,,#158,TR:,,Shinkiro,1.194,14 / 22,7 / 11,"403,707",95.70%,,NM4,S,"734,360",,,,,,
,,,#159,SG:,,Eagle5324,1.192,8 / 22,3 / 11,"483,974",96.72%,,NM3,A,"762,992",,,,,,
,,,#160,TW:,,Ruyaya,1.191,12 / 22,6 / 11,"437,932",96.91%,,HR2,A,"641,202",,,,,,
,,,#161,FR:,,Geordie Greep,1.191,10 / 22,4 / 11,"565,545",97.74%,,DT2,S,"894,572",,,,,,
,,,#162,DE:,,okinamo,1.191,8 / 22,5 / 11,"515,636",97.74%,,DT2,S,"960,150",,,,,,
,,★,#163,IL:,,cihp,1.183,16 / 22,8 / 11,"449,818",97.20%,,DT1,A,"670,828",,,,,,
,,,#164,PL:,,szedis,1.183,5 / 22,2 / 11,"602,320",98.33%,,HR1,A,"708,875",,,,,,
,,,#165,PH:,,Jitterish,1.182,5 / 22,3 / 11,"710,732",96.20%,,DT2,S,"904,954",,,,,,
,,★,#166,AR:,,Bomilk,1.181,16 / 22,8 / 11,"406,280",96.23%,,NM2,A,"573,730",,,,,,
,,★,#167,KZ:,,shiyumi,1.180,16 / 22,8 / 11,"403,451",96.90%,,NM1,A,"590,729",,,,,,
,,★,#168,AE:,,-aico,1.179,22 / 22,11 / 11,"410,205",95.34%,,DT2,S,"704,950",,,,,,
,,,#169,CA:,,SparklyFairy200,1.179,6 / 22,3 / 11,"659,025",97.89%,,DT1,A,"896,543",,,,,,
,,,#170,NO:,,Pinguinzi,1.172,8 / 22,4 / 11,"574,013",97.54%,,DT2,S,"913,261",,,,,,
,,,#171,ID:,,lifeline,1.166,11 / 22,6 / 11,"537,146",97.20%,,NM3,S,"939,247",,,,,,
,,★,#172,LT:,,Hera_,1.157,16 / 22,8 / 11,"398,423",95.67%,,NM3,A,"693,711",,,,,,
,,★,#173,SA:,,osu shallah,1.157,22 / 22,11 / 11,"406,152",94.74%,,NM4,A,"638,184",,,,,,
,,,#174,AU:,,cloppit,1.157,7 / 22,3 / 11,"655,781",98.77%,,DT1,S,"977,134",,,,,,
,,★,#175,UY:,,PLOXARU,1.150,21 / 22,10 / 11,"393,959",95.38%,,DT1,S,"954,200",,,,,,
,,,#176,BR:,,shwq,1.150,8 / 22,4 / 11,"448,664",97.09%,,HR2,A,"528,467",,,,,,
