username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
[Q],,,39.49,,49.63,25.0,0.8688,0.9423,35.56,True,43.44,1,155.0,"[Q] scores 35.56 with recent tournament form 49.6, bancho score 39.5, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
seegii,,,36.29,,42.77,58.16,0.8875,0.9195,35.52,True,43.53,2,294.0,"seegii scores 35.52 with consistency score 58.2, recent tournament form 42.8, bancho score 36.3; reliability 0.887, activity 0.919, provisional",{}
macabea,,,25.83,,36.3,89.96,0.8875,0.9555,35.52,True,41.89,2,106.0,"macabea scores 35.52 with consistency score 90.0, recent tournament form 36.3, bancho score 25.8; reliability 0.887, activity 0.956, provisional",{}
LyeRR,,,43.76,,47.72,25.0,0.8688,0.9423,35.46,True,43.32,1,155.0,"LyeRR scores 35.46 with recent tournament form 47.7, bancho score 43.8, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Suyong_,,,63.88,,39.42,25.0,0.8688,0.9457,35.46,True,43.16,1,141.0,"Suyong_ scores 35.46 with bancho score 63.9, recent tournament form 39.4, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
Satsukiiii,,,42.83,,48.04,25.0,0.8688,0.9425,35.44,True,43.29,1,154.0,"Satsukiiii scores 35.44 with recent tournament form 48.0, bancho score 42.8, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
Rizer,,,47.81,,46.02,25.0,0.8688,0.9425,35.43,True,43.27,1,154.0,"Rizer scores 35.43 with bancho score 47.8, recent tournament form 46.0, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
Birchman,,,28.91,,36.85,84.91,0.8875,0.9459,35.43,True,42.21,2,140.0,"Birchman scores 35.43 with consistency score 84.9, recent tournament form 36.9, bancho score 28.9; reliability 0.887, activity 0.946, provisional",{}
Nopekjk,,,33.28,,51.52,25.0,0.8688,0.9457,35.4,True,43.08,1,141.0,"Nopekjk scores 35.40 with recent tournament form 51.5, bancho score 33.3, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
suntanCTM,,,46.36,,48.31,25.0,0.8688,0.9194,35.39,True,44.3,1,295.0,"suntanCTM scores 35.39 with recent tournament form 48.3, bancho score 46.4, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Tebi,,,35.71,,36.86,74.62,0.8875,0.9409,35.33,True,42.3,2,161.0,"Tebi scores 35.33 with consistency score 74.6, recent tournament form 36.9, bancho score 35.7; reliability 0.887, activity 0.941, provisional",{}
stupid dog,,,35.2,,52.46,25.0,0.8688,0.9195,35.24,True,44.11,1,294.0,"stupid dog scores 35.24 with recent tournament form 52.5, bancho score 35.2, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
spray-,,,37.82,,49.61,25.0,0.8688,0.9423,35.22,True,43.02,1,155.0,"spray- scores 35.22 with recent tournament form 49.6, bancho score 37.8, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
AllyrD,,,49.29,,45.02,25.0,0.8688,0.9423,35.22,True,43.02,1,155.0,"AllyrD scores 35.22 with bancho score 49.3, recent tournament form 45.0, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Agent5d,,,25.18,,41.51,77.95,0.8875,0.9203,35.18,True,43.07,2,287.0,"Agent5d scores 35.18 with consistency score 78.0, recent tournament form 41.5, bancho score 25.2; reliability 0.887, activity 0.920, provisional",{}
TrickyPugster,,,56.95,,43.62,25.0,0.8688,0.9195,35.17,True,44.03,1,294.0,"TrickyPugster scores 35.17 with bancho score 57.0, recent tournament form 43.6, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Tim Kackner,,,51.5,,43.68,25.0,0.8688,0.9457,35.12,True,42.75,1,141.0,"Tim Kackner scores 35.12 with bancho score 51.5, recent tournament form 43.7, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
chests,,,31.12,,52.18,25.0,0.8688,0.9409,35.11,True,42.96,1,161.0,"chests scores 35.11 with recent tournament form 52.2, bancho score 31.1, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Rammu,,,40.08,,48.46,25.0,0.8688,0.9425,35.11,True,42.87,1,154.0,"Rammu scores 35.11 with recent tournament form 48.5, bancho score 40.1, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
