username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
P r a h,,,,,28.11,25.0,0.8688,0.9407,22.47,True,27.49,1,162.0,"P r a h scores 22.47 with recent tournament form 28.1, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
dench,,,,,27.84,25.0,0.8688,0.9391,22.25,True,27.27,1,169.0,"dench scores 22.25 with recent tournament form 27.8, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
baoo,,,,,27.75,25.0,0.8688,0.9387,22.18,True,27.2,1,171.0,"baoo scores 22.18 with recent tournament form 27.8, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Rhetoric,,,,,15.71,69.59,0.8875,0.9437,22.18,True,26.49,2,149.0,"Rhetoric scores 22.18 with consistency score 69.6, recent tournament form 15.7; reliability 0.887, activity 0.944, provisional",{}
Kotsik,,,,,27.67,25.0,0.8688,0.9391,22.14,True,27.14,1,169.0,"Kotsik scores 22.14 with recent tournament form 27.7, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
leny,,,,,29.25,25.0,0.85,0.9096,21.96,True,28.4,0,422.0,"leny scores 21.96 with recent tournament form 29.2, consistency score 25.0; reliability 0.850, activity 0.910, provisional",{}
Aphrodi,,,,,27.96,25.0,0.8688,0.9154,21.77,True,27.37,1,337.0,"Aphrodi scores 21.77 with recent tournament form 28.0, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
makkara,,,,,28.92,25.0,0.85,0.9082,21.72,True,28.14,0,450.0,"makkara scores 21.72 with recent tournament form 28.9, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
Sparkxei,,,,,27.76,25.0,0.8688,0.9154,21.64,True,27.21,1,337.0,"Sparkxei scores 21.64 with recent tournament form 27.8, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
RafaMat,,,,,26.62,25.0,0.8688,0.9457,21.61,True,26.3,1,141.0,"RafaMat scores 21.61 with recent tournament form 26.6, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
Naapuri,,,,,28.65,25.0,0.85,0.9082,21.55,True,27.92,0,450.0,"Naapuri scores 21.55 with recent tournament form 28.6, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
Another Guy,,,,,26.74,25.0,0.8688,0.9387,21.52,True,26.39,1,171.0,"Another Guy scores 21.52 with recent tournament form 26.7, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
BELLOFIGO,,,,,26.69,25.0,0.8688,0.9376,21.47,True,26.35,1,176.0,"BELLOFIGO scores 21.47 with recent tournament form 26.7, consistency score 25.0; reliability 0.869, activity 0.938, provisional",{}
Oscar con boina,,,,,28.14,25.0,0.85,0.9093,21.26,True,27.51,0,428.0,"Oscar con boina scores 21.26 with recent tournament form 28.1, consistency score 25.0; reliability 0.850, activity 0.909, provisional",{}
36R,,,,,27.07,25.0,0.8688,0.9153,21.2,True,26.66,1,338.0,"36R scores 21.20 with recent tournament form 27.1, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
duke,,,,,26.18,25.0,0.8688,0.9404,21.2,True,25.94,1,163.0,"duke scores 21.20 with recent tournament form 26.2, consistency score 25.0; reliability 0.869, activity 0.940, provisional",{}
Daf0nz,,,,,26.79,25.0,0.8688,0.9154,21.02,True,26.43,1,337.0,"Daf0nz scores 21.02 with recent tournament form 26.8, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
CRIMEA,,,,,25.86,25.0,0.8688,0.9391,20.96,True,25.69,1,169.0,"CRIMEA scores 20.96 with recent tournament form 25.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
ded24lol,,,,,26.44,25.0,0.8688,0.9186,20.87,True,26.15,1,303.0,"ded24lol scores 20.87 with recent tournament form 26.4, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Plapa,,,,,26.53,25.0,0.8688,0.9154,20.86,True,26.22,1,337.0,"Plapa scores 20.86 with recent tournament form 26.5, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
iamVill,,,,,25.64,25.0,0.8688,0.9387,20.81,True,25.51,1,171.0,"iamVill scores 20.81 with recent tournament form 25.6, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Nezunyan,,,,,26.36,25.0,0.8688,0.9147,20.73,True,26.09,1,345.0,"Nezunyan scores 20.73 with recent tournament form 26.4, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
CallMeRed,,,,,25.7,25.0,0.8688,0.9159,20.34,True,25.56,1,331.0,"CallMeRed scores 20.34 with recent tournament form 25.7, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
Tsubaban,,,,,25.67,25.0,0.8688,0.9153,20.31,True,25.54,1,338.0,"Tsubaban scores 20.31 with recent tournament form 25.7, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
RafaelXDP,,,,,25.68,25.0,0.8688,0.9148,20.3,True,25.54,1,344.0,"RafaelXDP scores 20.30 with recent tournament form 25.7, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
Tsukime,,,,,24.81,25.0,0.8688,0.9391,20.27,True,24.85,1,169.0,"Tsukime scores 20.27 with consistency score 25.0, recent tournament form 24.8; reliability 0.869, activity 0.939, provisional",{}
Milifa Lunaria,,,,,25.48,25.0,0.8688,0.9165,20.21,True,25.38,1,324.0,"Milifa Lunaria scores 20.21 with recent tournament form 25.5, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
hubbawubba,,,,,24.96,25.0,0.8688,0.9186,19.93,True,24.97,1,303.0,"hubbawubba scores 19.93 with consistency score 25.0, recent tournament form 25.0; reliability 0.869, activity 0.919, provisional",{}
